,0
0,0.48411953
1,0.8212829
2,0.8226628
3,0.9422809
4,0.9141315
5,0.92547786
6,0.71897656
7,0.7536572
8,0.7368635
9,0.91763306
10,0.6670282
11,0.76381356
12,0.86981225
13,0.7624973
14,0.6130079
15,0.5873152
16,0.58665687
17,0.62558794
18,0.7256839
19,0.6820767
20,0.5423988
21,0.7878078
22,0.9160385
23,0.8830781
24,0.8964008
25,0.9028623
26,0.9306159
27,0.8170236
28,0.7671289
29,0.76708186
30,0.8259357
31,0.88102126
32,0.9134011
33,0.75014174
34,0.6209266
35,0.54078436
36,0.5430582
37,0.49223107
38,0.67649233
39,0.88899267
40,0.7821638
41,0.602189
42,0.58233255
43,0.57749987
44,0.48058987
45,0.63415843
46,0.7620794
47,0.80259573
48,0.8389346
49,0.8698782
50,0.86890984
51,0.6290912
52,0.91034305
53,0.633327
54,0.61567
55,0.540571
56,0.5826886
57,0.6007688
58,0.74738306
59,0.84126306
60,0.78103054
61,0.7290114
62,0.8217344
63,0.6264657
64,0.6341305
65,0.66781056
66,0.6449828
67,0.8308333
68,0.77836776
69,0.7006459
70,0.6735109
71,0.53613883
72,0.6227156
73,0.58979654
74,0.6313249
75,0.8723365
76,0.9547933
77,0.93998194
78,0.7206669
79,0.8302181
